"4970","1001 Spring Ln, Sanford, NC, 27330","No_Match"
"3647","690 Alameda St, Los Angeles, CA, 90021","Match","Non_Exact","690 S ALAMEDA ST, LOS ANGELES, CA, 90021","-118.238525751824,34.035260922115","141620468","L","06","037","206031","2032"
"4978","3702 S Charles Blvd, Greenville, NC, 27858","Match","Non_Exact","3702 CHARLES BLVD, GREENVILLE, NC, 27858","-77.351233707256,35.568037720341","639708118","L","37","147","000502","1019"
"2318","2225 W I-20 (Walmart), Grand Prairie, TX, 75052","No_Match"
"3648","505 W Florence Ave, Los Angeles, CA, 90044","Match","Exact","505 W FLORENCE AVE, LOS ANGELES, CA, 90044","-118.28278076301,33.974710450472","141659773","R","06","037","237600","4005"
"4979","3000 Landmark St, Greenville, NC, 27834","Match","Exact","3000 LANDMARK ST, GREENVILLE, NC, 27834","-77.387228855466,35.574378948346","80021711","L","37","147","000603","4002"
"4990","5020 Promenade Blvd, Santa Fe, NM, 87507","Match","Exact","5020 PROMENADE BLVD, SANTA FE, NM, 87507","-106.028861163738,35.618031198","640851538","R","35","049","010314","1037"
"3660","1625 Wilshire Blvd, Los Angeles, CA, 90017","Match","Exact","1625 WILSHIRE BLVD, LOS ANGELES, CA, 90017","-118.270849205115,34.055765970292","141616634","R","06","037","208902","2001"
"4991","3299 Cerrillos Rd, Santa Fe, NM, 87501-2924","Match","Non_Exact","3299 CERRILLOS RD, SANTA FE, NM, 87507","-105.997152448985,35.652145747481","638543865","R","35","049","001202","2002"
"3661","3123 Hacienda Blvd, Hacienda Height, CA, 91745","Match","Non_Exact","3123 S HACIENDA BLVD, HACIENDA HEIGHTS, CA, 91745","-117.972933378423,33.98051383443","241130230","R","06","037","408503","3036"
"4992","6419 Airport Rd., Santa Fe, NM, 87507","Match","Exact","6419 AIRPORT RD, SANTA FE, NM, 87507","-106.046868940763,35.635532749725","169423860","R","35","049","001205","1018"
"3662","15628 Gale Ave, Hacienda Heights, CA, 91745-1516","Match","Non_Exact","15628 E GALE AVE, HACIENDA HEIGHTS, CA, 91745","-117.965898703983,34.011668947044","640421125","R","06","037","408501","1012"
"4993","1621 Pacheco St, Santa Fe, NM, 87501-3964","Match","Non_Exact","1621 PACHECO ST, SANTA FE, NM, 87505","-105.959676669237,35.661518425066","169378071","L","35","049","001002","3000"
"1000","3820 Old Spanish Trl, Houston, TX, 77021","Match","Exact","3820 OLD SPANISH TRL, HOUSTON, TX, 77021","-95.359518786322,29.702184106342","233372532","L","48","201","313700","2012"
"2331","8333 S Lancaster Rd, Dallas, TX, 75241","Match","Exact","8333 S LANCASTER RD, DALLAS, TX, 75241","-96.780869129132,32.646364135773","102954762","R","48","113","016703","3001"
"2330","181 N Fm148, Crandall, TX, 75114","Match","Non_Exact","181 FM 148, CRANDALL, TX, 75114","-96.451475168401,32.626409304782","123760811","L","48","257","050800","1116"
"2328","1463 W Pleasant Run Rd, Lancaster, TX, 75146","Match","Exact","1463 W PLEASANT RUN RD, LANCASTER, TX, 75146","-96.788605360362,32.60435741918","103187380","R","48","113","016705","2021"
"2327","125 W Camp Wisdom, Dallas, TX, 75232-3662","Match","Non_Exact","125 W CAMP WISDOM RD, DALLAS, TX, 75232","-96.823713931673,32.662391625236","103219246","R","48","113","011103","1015"
"2326","120 W I-20, Duncanville, TX, 75116","No_Match"
"2325","909 N Beckley Ave, Desoto, TX, 75115-4207","Match","Non_Exact","909 N BECKLEY AVE, DESOTO, TX, 75115","-96.823406295004,32.604440016315","638346632","L","48","113","016610","4010"
"2324","2570 W Redbird Ln, Dallas, TX, 75236","Match","Non_Exact","2570 W RED BIRD LN, DALLAS, TX, 75237","-96.860957132533,32.670995196724","103264993","R","48","113","010902","1008"
"2323","804 N Hampton Rd, Desoto, TX, 75115","Match","Exact","804 N HAMPTON RD, DESOTO, TX, 75115","-96.857004841085,32.602515962755","103187110","R","48","113","016620","1003"
"2322","8435 S Hampton, Dallas, TX, 75232","No_Match"
"2321","806 S Cockrell Hill Rd, Duncanville, TX, 75137","Match","Exact","806 S COCKRELL HILL RD, DUNCANVILLE, TX, 75137","-96.891211518542,32.645914872024","103264152","L","48","113","016517","1004"
"3652","3526 E Gage Ave, City Of Bell, CA, 90201","Match","Non_Exact","3526 E GAGE AVE, BELL, CA, 90201","-118.202430277371,33.979618101148","653721787","R","06","037","533602","1004"
"4983","186 Niblick Rd, Paso Robles, CA, 93446","Match","Exact","186 NIBLICK RD, PASO ROBLES, CA, 93446","-120.68124960138,35.61486624272","109858365","L","06","079","010204","1022"
